emb_gb_per_gpu,kv_gb_per_gpu,emb_lat_ms,emb_hit,emb_alloc_total_gb,kv_lat_ms,kv_hit,kv_alloc_total_gb,total_ms,emb_ratio,kv_ratio,kv_req_gb,split
5.0,35.0,992.5960158799292,0.01572861599999999,5.0,30.0,1.0,35.0,1022.5960158799292,0.9706629015426141,0.029337098457385864,2.859619140625,5.0:35.0
10.0,30.0,975.2136794070984,0.03145726800000001,10.0,30.0,1.0,30.0,1005.2136794070984,0.9701555991381904,0.029844400861809593,2.859619140625,10.0:30.0
20.0,20.0,940.648701751943,0.06291453600000002,20.0,30.0,1.0,20.0,970.648701751943,0.9690928345694457,0.030907165430554235,2.859619140625,20.0:20.0
